file,ssi,hash,cor,chi,inter,bha,TF
0.jpg,1,0,1,0,1.241021738,0,
2.jpg,0.258427494,38,0.021486285,119.9998823,0.15776837,0.932069756,1
3.jpg,0.134107449,34,0.266047664,27.57222873,0.368033385,0.844881647,0
4.jpg,0.186927976,18,0.137412128,23.70491907,0.228864535,0.766310361,1
5.jpg,0.746067403,10,0.061813058,15.50862994,0.156523842,0.850318467,1
6.jpg,0.375303263,32,0.986136889,8.375003447,1.112382728,0.659259743,1
7.jpg,0.579114068,32,0.06041162,15.60191611,0.06254087,0.89078802,1
8.jpg,0.415276321,30,0.034052665,9.740487514,0.090528828,0.925288926,1
9.jpg,0.144683905,30,0.116417547,66.2310309,0.216730491,0.858014548,1
10.jpg,0.378635047,28,0.287704843,125.1622895,0.453283931,0.754706213,1
11.jpg,0.253161375,26,0.060509243,17.79362214,0.099847249,0.914987779,0
12.jpg,0.21068505,36,0.060229141,23.81582202,0.065309442,0.898554437,1
13.jpg,0.497377668,34,0.021200024,40984.33733,0.205586495,0.872088322,1
14.jpg,0.218555896,28,0.027972488,3116.27766,0.17601966,0.941034451,0
15.jpg,0.153157,32,0.063827852,16.90802175,0.106782116,0.862376931,0
16.jpg,0.536429759,32,0.007273406,1.32461344,0.068745555,0.929897958,1
17.jpg,0.380978314,28,0.925589964,378.7804506,1.156395463,0.697462343,1
18.jpg,0.515341917,28,0.99168559,1.824034297,1.107438429,0.436631704,0
19.jpg,0.307092744,26,0.056944206,51.13138605,0.121452881,0.92658016,0
20.jpg,0.205901413,28,-0.004302617,1625.053312,0.072753252,0.983788503,0
21.jpg,0.158373445,30,0.059967192,78.9021442,0.096570884,0.888067121,1
22.jpg,0.561947356,20,0.009532029,4.194787091,0.085271887,0.918868402,0
23.jpg,0.08352162,38,0.059321328,33.31281767,0.088056575,0.899442247,0
24.jpg,0.160193486,30,0.060934671,76.71134019,0.11781703,0.899710147,1
25.jpg,0.616596436,32,0.003197567,1.5913767,0.045013799,0.944737108,0
26.jpg,0.401746596,40,0.990317926,4.382422867,1.179574121,0.399833305,0
27.jpg,0.450092834,32,0.995824905,1.77796188,1.106034962,0.353631947,1
28.jpg,,,,,,,0
29.jpg,0.147352185,22,0.078018071,15.7960591,0.103367722,0.808280489,0
30.jpg,0.185355677,32,0.042583706,50.78617316,0.097131165,0.965109914,0
31.jpg,0.186936926,32,0.068509623,902.9504727,0.185761783,0.915081059,0
32.jpg,0.121407452,32,0.028013294,486.8311847,0.186678495,0.923936458,0
33.jpg,0.184277101,24,0.063228666,15.66339535,0.193012386,0.824197747,1
34.jpg,0.245945845,34,0.117347141,1982.298053,0.385051798,0.889180993,0
35.jpg,0.147717651,24,-0.001365697,565.9607097,0.098695238,0.973971109,1
36.jpg,0.142538948,32,0.060346854,15.60019531,0.066361964,0.896049356,1
37.jpg,0.320260534,28,0.005380758,6583.707523,0.194652683,0.959190058,0
38.jpg,0.247006622,24,0.002378294,2.299041031,0.085999616,0.961614538,0
39.jpg,0.494628553,26,0.086192063,73.43752481,0.274005716,0.776340358,1
40.jpg,0.257110821,28,-0.002313654,106.6306365,0.068601061,0.978683082,0
41.jpg,0.227491637,38,0.06160488,17.14285539,0.157883163,0.85406938,1
43.jpg,0.042875447,28,0.063418666,27.2877181,0.122322016,0.867878683,0
44.jpg,0.200148731,36,0.058647438,29.01724017,0.095877928,0.932467379,0
45.jpg,0.080652454,26,0.05293041,47.80419957,0.119332853,0.948060174,0
