file,ssi,hash,cor,chi,inter,bha,TF
0.JPG,1,0,1,0,1.133031547,0,
1.jpg,0.672571446,4,0.99993377,0.166154005,1.089150664,0.113029315,1
2.jpg,0.457275917,28,0.981580555,1631.517321,1.068718019,0.481051754,1
3.jpg,0.274428415,30,0.954559817,1388.993776,1.104911178,0.635558321,1
4.jpg,0.491222531,26,0.999848586,0.1498523,1.070942432,0.120687045,1
5.jpg,0.465461351,24,0.996929159,147.9005008,1.087723074,0.429459943,1
6.jpg,0.361596654,24,0.999633219,4.046473568,1.074834618,0.273148321,1
7.jpg,0.328223692,32,0.976335004,51.34074164,1.130467604,0.431491309,1
8.jpg,0.552355687,32,0.0429884817,181368.1077,0.202275984,0.894934741,1
9.jpg,0.477312591,32,0.933315769,1270.443059,1.090967836,0.4970159,1
10.jpg,0.454840427,30,0.999228047,7.684901206,1.068777824,0.317859927,1
11.jpg,0.421733751,28,0.999496708,11.12525052,1.069335778,0.299654613,1
12.jpg,0.217549103,32,0.998814962,26.70232318,1.089917118,0.433349912,1
13.jpg,0.33391186,42,0.997278742,59.86431659,1.086739692,0.432419163,1
14.jpg,0.38200587,28,0.996540971,179.4355981,1.081106867,0.496816276,1
15.jpg,0.603431429,26,0.0350194306,47599.42837,0.13304295,0.89002725,1
16.jpg,0.256724028,34,0.999551167,3.12106278,1.082009461,0.244926311,1
17.jpg,0.297494689,44,0.994433016,272.1913522,1.113182436,0.481783334,1
18.jpg,0.289503186,38,0.0657118556,233318.1803,0.202559258,0.894836347,0
19.jpg,0.423274214,30,0.993661875,596.6612886,1.080416906,0.461811562,1
20.jpg,0.39266728,32,0.965103776,3257.749482,1.087982592,0.566435093,1
21.jpg,0.30801912,26,0.0237567662,224325.4572,0.180412755,0.901093798,1
22.jpg,0.291308465,30,0.996289858,129.6494444,1.125583748,0.4777285,1
23.jpg,0.283165134,34,0.989890721,85.14719815,1.132224162,0.512190187,1
24.jpg,0.289122125,34,0.996772614,119.9848664,1.102414375,0.460885662,1
25.jpg,0.291892275,32,0.998756703,41.4953043,1.090407211,0.462188615,1
26.jpg,0.2720154,36,0.997514493,46.91090777,1.111718966,0.417115235,1
27.jpg,0.379715693,34,0.190120301,9969.384411,0.341510734,0.817815834,1
28.jpg,0.33219688,28,0.989488328,84.89165936,1.127524922,0.481162225,1
29.jpg,0.121144631,36,0.870736456,8986.495436,1.115285247,0.734721852,1
30.jpg,0.321762582,34,0.991673077,196.233698,1.089070563,0.477188576,1
31.jpg,0.352352912,30,0.984496586,1298.652632,1.083605279,0.476355135,1
32.jpg,0.260112707,30,0.998880286,16.35589081,1.087681197,0.345081899,1
33.jpg,0.257410432,32,0.998618109,8.312981248,1.129870736,0.304285392,1
34.jpg,0.411194156,32,0.996502329,70.18316803,1.100866663,0.457447528,1
35.jpg,,,,,,,
36.jpg,0.299959844,32,0.0104449634,3565.416587,0.143738512,0.909376738,0
37.jpg,0.622088414,34,0.999720595,0.126225891,1.004212354,0.23205444,0
38.jpg,0.51900837,34,0.999588667,4.707634026,1.071536811,0.253533701,1
39.jpg,0.309154469,32,0.919819845,5264.691882,1.06868355,0.671309211,0
40.jpg,0.453746582,36,0.98531159,333.5613527,1.071957645,0.571632274,0
41.jpg,0.483890414,40,0.998625419,56.05321423,1.05447415,0.35483555,0
42.jpg,0.463711749,34,0.998942856,5.258435166,1.018659508,0.314272684,0
43.jpg,0.617130365,28,0.998629705,13.62103167,1.024583341,0.290469008,0
46.jpg,0.426897496,30,-0.000813916403,100804.2881,0.0184363386,0.966538335,0
47.jpg,0.0140533961,30,0.999140435,26.83224177,1.017366533,0.335615185,0
48.jpg,0.529223048,32,0.997673439,168.7955983,1.076650677,0.35751857,1
49.jpg,0.304780881,26,0.995366451,255.6622906,1.077343212,0.442256933,1
50.jpg,0.403345933,36,0.999718105,0.225967839,1.007772766,0.225764542,0
51.jpg,0.584586885,28,0.974589225,158.2974636,1.037707242,0.49738728,0
52.jpg,0.104794609,26,0.115205721,386800.384,0.539953398,0.88022075,0
53.jpg,0.457554381,30,0.997128968,115.8806867,1.078829314,0.44940835,0
54.jpg,0.377572518,28,0.380995181,47337.16158,0.510709951,0.744436499,1
55.jpg,0.227150768,38,0.0448394089,418279.9102,0.266665428,0.889138388,0
56.jpg,0.414610434,34,0.998842239,9.207718774,1.004447993,0.319455659,0
57.jpg,0.287905437,36,0.0492529476,118704.4273,0.264123288,0.878471245,0
58.jpg,0.536803122,30,0.248857793,46.85725478,0.491868535,0.819799999,0
59.jpg,0.552667448,34,0.198497291,434.4838343,0.256410051,0.786557327,0
60.jpg,0.388845098,36,0.850065362,11189.63124,1.058124045,0.705606605,0
61.jpg,0.330361495,32,0.931929911,2806.084741,1.090335745,0.667806442,0
62.jpg,0.548091546,32,0.999784944,1.281181004,1.014927909,0.23440631,0
63.jpg,0.0676276051,28,0.10576588,6836.859075,0.277687146,0.839174195,0
64.jpg,0.486803744,30,0.984851872,78.52684969,1.069593211,0.564474234,0
65.jpg,0.458916902,28,0.988193656,642.9780636,1.074783453,0.516078159,0
66.jpg,0.448016486,38,0.706223743,7161.727704,1.075779257,0.681280492,0
67.jpg,0.250449344,24,0.976639307,1066.451514,1.079584232,0.644888866,0
